"Program_Code","Program_Type","Faculty","Department","DEPARTMENT_ID","Program","Type_of_Program","Includes_Degree_Types","Author","Approver","Quality","Sustainability","Level"
"AC2110","Academic","LA&PS","Public Policy & Admin",57100,"Disaster & Emergency Management","Degree (Major/Minor/Certificate)","BDEM","Peggy Ng","Martin Singer",4.56,4,"Undergraduate"
"AC2120","Academic","LA&PS","Public Policy & Admin",57100,"Disaster & Emergency Management","Graduate Degree","MDEM","Peggy Ng","Martin Singer",5.01,4.91,"Master's"
"AC2130","Academic","LA&PS","Public Policy & Admin",57100,"Financial Accountability","Graduate Degree","MFAc","Peggy Ng","Martin Singer",3.83,4.2,"Master's"
"AC2150","Academic","LA&PS","Social Science",57450,"African Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",3.72,3.4,"Undergraduate"
"AC2160","Academic","LA&PS","Social Science",57450,"Business & Society","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",4.89,7.19,"Undergraduate"
"AC2170","Academic","LA&PS","Social Science",57450,"Criminology","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",5.62,6.79,"Undergraduate"
"AC2180","Academic","LA&PS","Social Science",57450,"Health & Society","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",5.44,6.21,"Undergraduate"
"AC2190","Academic","LA&PS","Social Science",57450,"International Development Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",5.44,6.01,"Undergraduate"
"AC2200","Academic","LA&PS","Social Science",57450,"Latin American & Caribbean Studies","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",3.47,2.57,"Undergraduate"
"AC2210","Academic","LA&PS","Social Science",57450,"Law and Society","Degree (Major/Minor/Certificate)","BA","Kimberley White","Martin Singer",5,5.51,"Undergraduate"
